contract,args,call_1,call_2,callable_more_than_once
176f4086640d2c5ce433113033ac7f161ce37180f46f8e5cbb9cff9db82eb900.wasm,"address, 336184, address",ok,ok,yes
17905dfba425b340c9f52e547b1ad1dfd0ff70156a4854426856022f3d543ff8.wasm,address,ok,"Error(WasmVm, InvalidAction)",no
17aac985522aba1dbcc269a2b332df6da05faee2b1358bb3337d3c13c9152dd1.wasm,"address, address, address, address, 482010","Error(Contract, #9)","Error(Contract, #9)",unknown
17fc0897758f4ef16ad8bdc234b70a754363a93731c1eb7b52c8593247c3bf53.wasm,"address, address, address, address, address",ok,"Error(Contract, #1)",no
18051456816b66f12e773a56f77c5794fac1b1fb7ab6e22d4fad5a412770f73e.wasm,"address, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
182b90482d40efd661a7f5e32ac9cb328bc4f66293d778251001d6744dd570e3.wasm,address,ok,"Error(Contract, #410)",no
18336805466bbd05bc388610d36de73994f5b9061bb199c02418a073fcf4b281.wasm,"address, address",ok,"Error(Contract, #1)",no
1863d95f609cadd95a557550ad6bdc05a443304fb69fb1d110e7874ea27a1ab2.wasm,address,ok,ok,yes
1872e71c6ba523dcd60ec9afa29000b38211c846dfda3be9c4f6199fde54f9c4.wasm,address,ok,"Error(Contract, #2)",no
18aaa5a99271d17356bf1cfb3c45c8b8f1541cd8491279f6ae46b869b788069f.wasm,"{admin: address base_token_uri: le collection: address minted_total: 414655 num_tokens: 716087 payment_address: address platform_fee: {payment_address: address share: 791152} safe_transfer_contract: address stages: [] start_time: 87863}, address","Error(Contract, #2)","Error(Contract, #2)",unknown
18e40185bbebefa02e358353699302c1c0266a5b3d048981b241eec8d22ffd76.wasm,"bytes[32], bytes[32], {admin: address default_slippage_bps: 565821 fee_recipient: address max_allowed_slippage_bps: 163327 max_allowed_spread_bps: 529064 max_referral_bps: 549240 stake_init_info: {manager: address max_complexity: 507962 min_bond: 22812 min_reward: 432305} swap_fee_bps: 452294 token_init_info: {token_a: address token_b: address}}, address, 668884, s6, p4, 268623, 286405","Error(WasmVm, InvalidAction)","Error(WasmVm, InvalidAction)",unknown
19173258dc8d5cd819032df3f6fb031e57545d044848b9b288acafb39d051496.wasm,"address, address, address, 787439",ok,"Error(WasmVm, InvalidAction)",no
191d631292d22f5383491784ed33972a3480b0a5bc79b88ac6bd7835862b916b.wasm,"address, address",ok,"Error(Contract, #1)",no
196dab9448790a1de0500928a3df6f10e81a3bd0bd4fbacbed2215a1c0075165.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
1987491eb783da3f0c3854ea2cfb6eafda0c3e0ecd3fcb9fa9d7392a08fd289f.wasm,"address, address, {counting_type: 353256 grace_period: 978836 proposal_threshold: 649661 quorum: 44598 timelock: 327637 vote_delay: 830333 vote_period: 699761 vote_threshold: 807866}","Error(Contract, #200)","Error(Contract, #200)",unknown
1a4405136adb4e7c10270baad11b7255829a71566784cbf88c132245ee05cfd1.wasm,"address, address, address, address, address, address","Error(Contract, #9)","Error(Contract, #9)",unknown
1a5e7ee9fc8023cc176fe70a0621a971f020a141f1709def865523d5747c8afd.wasm,"address, [address], uc",ok,"Error(Contract, #1)",no
1a8c4b52764ce65315c5938593f9993d44b14e45776e33ef327794c3f493cf04.wasm,"address, address, address, address, address, address",ok,"Error(Contract, #9)",no
1aa23951740091f238ddb75281c9aeeac6bd3b6b29a4de645efcc5c5ffb7e133.wasm,"yv, tls, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
1ac9ad2258396a1c4ceee5049841e61c1c2953919cc673f8c8c050c16d76204b.wasm,"address, address, address, address","Error(Object, InvalidInput)","Error(Object, InvalidInput)",unknown
